date,new_cases,total_cases,new_deaths,total_deaths,new_tests,total_tests,cases_per_million,deaths_per_million,tests_per_million
2020-04-24,2646.0,189973.0,464.0,189973.0,95273.0,189973.0,3142.0320272155845,3142.0320272155845,3142.0320272155845
2020-04-25,3021.0,192994.0,420.0,192994.0,38676.0,192994.0,3191.99743679599,3191.99743679599,3191.99743679599
2020-04-26,2357.0,195351.0,415.0,195351.0,24113.0,195351.0,3230.9807106725257,3230.9807106725257,3230.9807106725257
2020-04-27,2324.0,197675.0,260.0,197675.0,26678.0,197675.0,3269.418185636068,3269.418185636068,3269.418185636068
2020-04-28,1739.0,199414.0,333.0,199414.0,37554.0,199414.0,3298.180134414725,3298.180134414725,3298.180134414725
2020-04-29,2091.0,201505.0,382.0,201505.0,38589.0,201505.0,3332.7639382653133,3332.7639382653133,3332.7639382653133
2020-04-30,2086.0,203591.0,323.0,203591.0,41441.0,203591.0,3367.2650453109027,3367.2650453109027,3367.2650453109027
2020-05-01,1872.0,205463.0,285.0,205463.0,43732.0,205463.0,3398.226729102534,3398.226729102534,3398.226729102534
2020-05-02,1965.0,207428.0,269.0,207428.0,31231.0,207428.0,3430.726573467147,3430.726573467147,3430.726573467147
2020-05-03,1900.0,209328.0,474.0,209328.0,27047.0,209328.0,3462.151359366773,3462.151359366773,3462.151359366773
2020-05-04,1389.0,210717.0,174.0,210717.0,22999.0,210717.0,3485.124531795499,3485.124531795499,3485.124531795499
2020-05-05,1221.0,211938.0,195.0,211938.0,32211.0,211938.0,3505.319091576259,3505.319091576259,3505.319091576259
2020-05-06,1075.0,213013.0,236.0,213013.0,37771.0,213013.0,3523.0989046510467,3523.0989046510467,3523.0989046510467
2020-05-07,1444.0,214457.0,369.0,214457.0,13665.0,214457.0,3546.9817419347623,3546.9817419347623,3546.9817419347623
2020-05-08,1401.0,215858.0,274.0,215858.0,45428.0,215858.0,3570.1533866954865,3570.1533866954865,3570.1533866954865
2020-05-09,1327.0,217185.0,243.0,217185.0,36091.0,217185.0,3592.1011187422255,3592.1011187422255,3592.1011187422255
2020-05-10,1083.0,218268.0,194.0,218268.0,31384.0,218268.0,3610.013246705012,3610.013246705012,3610.013246705012
2020-05-11,802.0,219070.0,165.0,219070.0,25823.0,219070.0,3623.277814226854,3623.277814226854,3623.277814226854
2020-05-12,744.0,219814.0,179.0,219814.0,39620.0,219814.0,3635.5830988107073,3635.5830988107073,3635.5830988107073
2020-05-13,1402.0,221216.0,172.0,221216.0,37049.0,221216.0,3658.7712829324314,3658.7712829324314,3658.7712829324314
2020-05-14,888.0,222104.0,195.0,222104.0,41131.0,222104.0,3673.4582355002563,3673.4582355002563,3673.4582355002563
2020-05-15,992.0,223096.0,262.0,223096.0,39027.0,223096.0,3689.865281612061,3689.865281612061,3689.865281612061
2020-05-16,789.0,223885.0,242.0,223885.0,40657.0,223885.0,3702.9148374409056,3702.9148374409056,3702.9148374409056
2020-05-17,875.0,224760.0,153.0,224760.0,33505.0,224760.0,3717.3867783157334,3717.3867783157334,3717.3867783157334
2020-05-18,675.0,225435.0,145.0,225435.0,26101.0,225435.0,3728.5508469906003,3728.5508469906003,3728.5508469906003
2020-05-19,451.0,225886.0,99.0,225886.0,40226.0,225886.0,3736.0100988015115,3736.0100988015115,3736.0100988015115
2020-05-20,813.0,226699.0,162.0,226699.0,38617.0,226699.0,3749.4565992943517,3749.4565992943517,3749.4565992943517
2020-05-21,665.0,227364.0,161.0,227364.0,40644.0,227364.0,3760.4552743592203,3760.4552743592203,3760.4552743592203
2020-05-22,642.0,228006.0,156.0,228006.0,42987.0,228006.0,3771.073544121094,3771.073544121094,3771.073544121094
2020-05-23,652.0,228658.0,130.0,228658.0,42579.0,228658.0,3781.8572074929657,3781.8572074929657,3781.8572074929657
2020-05-24,669.0,229327.0,119.0,229327.0,34206.0,229327.0,3792.922040001834,3792.922040001834,3792.922040001834
2020-05-25,531.0,229858.0,50.0,229858.0,20676.0,229858.0,3801.7044406927293,3801.7044406927293,3801.7044406927293
2020-05-26,300.0,230158.0,92.0,230158.0,33944.0,230158.0,3806.6662489926703,3806.6662489926703,3806.6662489926703
2020-05-27,397.0,230555.0,78.0,230555.0,37299.0,230555.0,3813.232375309592,3813.232375309592,3813.232375309592
2020-05-28,584.0,231139.0,117.0,231139.0,39838.0,231139.0,3822.891362133477,3822.891362133477,3822.891362133477
2020-05-29,593.0,231732.0,70.0,231732.0,38233.0,231732.0,3832.6992032063604,3832.6992032063604,3832.6992032063604
2020-05-30,516.0,232248.0,87.0,232248.0,36051.0,232248.0,3841.233513482259,3841.233513482259,3841.233513482259
